a,b
1543.11500,0.33073
1543.12000,0.32777
1543.12500,0.32185
1543.13000,0.31988
1543.13500,0.32317
1543.14000,0.33534
1543.14500,0.35080
1543.15000,0.36066
1543.15500,0.35836
1543.16000,0.34817
1543.16500,0.33896
1543.17000,0.33238
1543.17500,0.33106
1543.18000,0.33205
1543.18500,0.33797
1543.19000,0.34784
1543.19500,0.35705
1543.20000,0.36132
1543.20500,0.36066
1543.21000,0.35836
1543.21500,0.34948
1543.22000,0.33929
1543.22500,0.33106
1543.23000,0.32942
1543.23500,0.33863
1543.24000,0.35014
1543.24500,0.35935
1543.25000,0.36527
1543.25500,0.36757
1543.26000,0.36461
1543.26500,0.35376
1543.27000,0.33863
1543.27500,0.32777
1543.28000,0.32712
1543.28500,0.33600
1543.29000,0.34718
1543.29500,0.35507
1543.30000,0.35935
1543.30500,0.35606
1543.31000,0.34751
1543.31500,0.33764
1543.32000,0.32909
1543.32500,0.32613
1543.33000,0.32547
1543.33500,0.32679
1543.34000,0.32843
1543.34500,0.32777
1543.35000,0.32613
1543.35500,0.31791
1543.36000,0.29587
1543.36500,0.26858
1543.37000,0.24227
1543.37500,0.21891
1543.38000,0.19918
1543.38500,0.17583
1543.39000,0.14492
1543.39500,0.10545
1543.40000,0.06829
1543.40500,0.05941
1543.41000,0.08309
1543.41500,0.11828
1543.42000,0.15412
1543.42500,0.19030
1543.43000,0.22549
1543.43500,0.26134
1543.44000,0.28798
1543.44500,0.30048
1543.45000,0.30870
1543.45500,0.32021
1543.46000,0.33665
1543.46500,0.35211
1543.47000,0.36625
1543.47500,0.37744
1543.48000,0.38105
1543.48500,0.37513
1543.49000,0.36132
1543.49500,0.35376
1543.50000,0.35343
1543.50500,0.35902
1543.51000,0.36461
1543.51500,0.37283
1543.52000,0.37974
1543.52500,0.38697
1543.53000,0.38796
1543.53500,0.37809
1543.54000,0.36724
1543.54500,0.36231
1543.55000,0.36066
1543.55500,0.36527
1543.56000,0.37349
1543.56500,0.38500
1543.57000,0.39454
1543.57500,0.39388
1543.58000,0.38368
1543.58500,0.37152
1543.59000,0.36099
1543.59500,0.35770
1543.60000,0.35902
1543.60500,0.36494
1543.61000,0.37776
1543.61500,0.38763
1543.62000,0.38336
1543.62500,0.36889
1543.63000,0.35343
1543.63500,0.34422
1543.64000,0.33863
1543.64500,0.33797
1543.65000,0.34290
1543.65500,0.35310
1543.66000,0.36132
1543.66500,0.36264
1543.67000,0.35606
1543.67500,0.34356
1543.68000,0.32712
1543.68500,0.31528
1543.69000,0.30673
1543.69500,0.30212
1543.70000,0.30541
1543.70500,0.30344
1543.71000,0.28305
1543.71500,0.24884
1543.72000,0.21069
1543.72500,0.17945
1543.73000,0.15117
1543.73500,0.12025
1543.74000,0.08374
1543.74500,0.06566
1543.75000,0.08177
1543.75500,0.12222
1543.76000,0.15939
1543.76500,0.18767
1543.77000,0.20839
1543.77500,0.22977
1543.78000,0.25147
1543.78500,0.27450
1543.79000,0.28765
1543.79500,0.28765
1543.80000,0.28403
1543.80500,0.28436
1543.81000,0.28765
1543.81500,0.29226
1543.82000,0.29916
1543.82500,0.30673
1543.83000,0.31265
1543.83500,0.31265
1543.84000,0.30344
1543.84500,0.29489
1543.85000,0.29061
1543.85500,0.28831
1543.86000,0.28864
1543.86500,0.29291
1543.87000,0.30245
1543.87500,0.31561
1543.88000,0.32613
1543.88500,0.32646
1543.89000,0.32120
1543.89500,0.31199
1543.90000,0.30442
1543.90500,0.29883
1543.91000,0.29719
1543.91500,0.30410
1543.92000,0.31791
1543.92500,0.33139
1543.93000,0.33600
1543.93500,0.33501
1543.94000,0.32777
1543.94500,0.32087
1543.95000,0.31265
1543.95500,0.30771
1543.96000,0.30969
1543.96500,0.31561
