표 1
a,b,,,, - Count 1, - Count 1, - Count 2,,
0.00000144,0.834579732609906,,,,71,3658,2955,0.106305761379102,0.834579732609906
0.00000146,0.811128854094598,,,,72,3646,2990,0.0988547317661242,0.811128854094598
0.00000148,0.897517348335773,,,,73,3674,2850,0.126302881667689,0.897517348335773
0.0000015,0.919801228315674,,,,74,3794,2901,0.133383121732636,0.919801228315674
0.00000152,0.924060820442762,,,,75,3693,2816,0.134736518666462,0.924060820442762
0.00000154,0.883367859810947,,,,76,3799,2974,0.121807175549978,0.883367859810947
0.00000156,0.941388441995052,,,,77,3675,2771,0.140242010549178,0.941388441995052
0.00000158,0.878235282590557,,,,78,3556,2793,0.120176405733186,0.878235282590557
0.0000016,0.981211796195222,,,,79,3823,2809,0.152895054282268,0.981211796195222
0.00000162,0.920221490741068,,,,80,3710,2836,0.133516651390162,0.920221490741068
0.00000164,0.970370789173408,,,,81,3661,2709,0.149450549450549,0.970370789173408
0.00000166,0.819067550281666,,,,82,3759,3067,0.101377087606212,0.819067550281666
0.00000168,0.364927522843503,,,,83,3111,3390,-0.0429164743885556,0.364927522843503
0.0000017,0.662825590477172,,,,84,3517,3171,0.0517344497607656,0.662825590477172
0.00000172,0.878792478063013,,,,85,3677,2887,0.120353443022547,0.878792478063013
0.00000174,0.935345513322263,,,,86,3765,2850,0.138321995464853,0.935345513322263
0.00000176,0.962606480511335,,,,87,3812,2835,0.146983601624793,0.962606480511335
0.00000178,0.940276049694976,,,,88,3785,2856,0.139888570998344,0.940276049694976
0.0000018,0.985711774317578,,,,89,3710,2718,0.154324828873678,0.985711774317578
0.00000182,0.971316199658204,,,,90,3693,2731,0.149750933997509,0.971316199658204
0.00000184,1.05188864583011,,,,91,3891,2730,0.17535115541459,1.05188864583011
0.00000186,0.99035070769013,,,,92,3802,2777,0.155798753609971,0.99035070769013
0.00000188,0.912291754627783,,,,93,3760,2889,0.130997142427433,0.912291754627783
0.0000019,0.939174366307574,,,,94,3630,2741,0.139538533982106,0.939174366307574
0.00000192,0.950295560866204,,,,95,3799,2848,0.143072062584625,0.950295560866204
