Sample in Buffer,Sample in Window,TRIGGER,design_1_i/CIS_test_0_o_vsync,design_1_i/CIS_test_0_o_hsync,design_1_i/cis_pclk_1,design_1_i/cis_d_1[7:0],design_1_i/CIS_test_0_o_hsync_cnt[31:0],design_1_i/CIS_test_0_o_pclk_cnt[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
360,360,0,1,1,0,02,6,10130
361,361,0,1,1,0,02,6,10131
362,362,0,1,1,0,02,6,10132
363,363,0,1,1,0,02,6,10133
364,364,0,1,1,0,02,6,10134
365,365,0,1,1,0,02,6,10135
366,366,0,1,1,0,02,6,10136
367,367,0,1,1,0,02,6,10137
368,368,0,1,1,0,02,6,10138
369,369,0,1,1,0,02,6,10139
370,370,0,1,1,0,02,6,10140
371,371,0,1,1,0,02,6,10141
372,372,0,1,1,0,02,6,10142
373,373,0,1,1,0,02,6,10143
374,374,0,1,1,0,02,6,10144
375,375,0,1,1,0,02,6,10145
376,376,0,1,1,0,02,6,10146
377,377,0,1,1,0,02,6,10147
378,378,0,1,1,0,02,6,10148
379,379,0,1,1,0,02,6,10149
380,380,0,1,1,0,02,6,10150
381,381,0,1,1,0,02,6,10151
382,382,0,1,1,0,02,6,10152
383,383,0,1,1,0,02,6,10153
384,384,0,1,1,0,02,6,10154
385,385,0,1,1,0,02,6,10155
386,386,0,1,1,0,02,6,10156
387,387,0,1,1,0,02,6,10157
388,388,0,1,1,0,02,6,10158
389,389,0,1,1,0,02,6,10159
390,390,0,1,1,0,02,6,10160
391,391,0,1,1,0,02,6,10161
392,392,0,1,1,0,02,6,10162
393,393,0,1,1,0,02,6,10163
394,394,0,1,1,0,02,6,10164
395,395,0,1,1,0,02,6,10165
396,396,0,1,1,0,02,6,10166
397,397,0,1,1,0,02,6,10167
398,398,0,1,1,0,02,6,10168
399,399,0,1,1,0,02,6,10169
400,400,0,1,1,0,02,6,10170
401,401,0,1,1,0,02,6,10171
402,402,0,1,1,0,02,6,10172
403,403,0,1,1,0,02,6,10173
